Year,Bowl Game Name,Lead Time (Days),Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 Prior Season Wins,Team 1 Win Difference from Year Prior,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Closest Large Airport Name,Team 1 Miles to Closest Large Airport,Team 1 Driving Time to Closest Large Airport (Minutes),Team 1 Nearest Large Airport Remote Flag,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 Prior Season Wins,Team 2 Win Difference from Year Prior,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Closest Large Airport Name,Team 2 Miles to Closest Large Airport,Team 2 Driving Time to Closest Large Airport (Minutes),Team 2 Nearest Large Airport Remote Flag,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 1 Driving Time (hrs),Team 1 Driving Time (min),Team 1 Drivable?,Team 2 Miles to Venue,Team 2 Driving Time (hrs),Team 2 Driving Time (min),Team 2 Drivable?,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Avg Driving Min,Avg Driving Hours,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distance,AP Strength Normalized,Raw Gradient Boosted Attendance,Gradient Boosting Predicted Attendance,Final Attendance Prediction,Bowl Avg Attendance,Gradient Boosting Predicted % Filled,Bowl Avg % Filled,Attendance Difference from Avg,% Attendance Difference from Avg,Actual Attendance,Actual % Filled,% Error,Difference from Predicted,Bowl Type,Temp at Kickoff Time,Weather at Kickoff,Rain (mm),Snowfall (mm)
2022,68 Ventures Bowl,13,Southern Miss Golden Eagles,Sun Belt Conference,0,7,3,4,478.97,133200,13110,83364,Regional,51109.988,31.33,-89.33,Gulfport Biloxi International Airport,65.52157,90.6,Moderate Remote,CST,Rice Owls,American Conference,0,5,4,1,441.93,108200,8556,67890,Regional,41136.972,29.72,-95.40,William P. Hobby Airport,9.038024,29.2,Accessible,CST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,81,1.6195,97.1697,Drivable,437,8.73045,523.82683,Flight Required,2022-12-17,Saturday,5:45 PM,ESPN,"1,220,000","20,512",1221667,20340,0.81,6,12,0,0,0,0,0,0,0,414320,258.7486,310.4983,5.1750,81,355.55,1,0,3,1,1,26,5.617336946,0.05220827278,1,"20,646.55","20,554.59","20,554.59",20340,80.76%,79.92%,214.59,1.05%,"20,512",0.81,0.21%,42.59,Medium,47.1,Overcast,0.2,0
2023,68 Ventures Bowl,20,South Alabama Jaguars,Sun Belt Conference,0,7,10,-3,545.68,102300,13768,63975,Regional,40059.372,30.70,-88.18,Gulfport Biloxi International Airport,56.6751,91.4,Moderate Remote,CST,Eastern Michigan Eagles,Mid-American Conference,0,6,9,-3,377.07,112500,13324,129009,Mostly In-State,49466.528,42.25,-83.63,Detroit Metropolitan Wayne County Airport,14.2238,26.8,Accessible,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,0,0.0000,0.0000,Easy Drive,837,16.74412,1004.64737,Flight Required,2023-12-23,Saturday,7:00 PM,ESPN,"765,000","20,926",1221667,20340,0.82,6.5,13,0,0,0,0,0,0,0,434876,418.6031,502.3237,8.3721,0,837.21,1,0,3,1,1,26,5.638366439,0.09752053457,1,"20,994.17","20,797.92","20,797.92",20340,81.72%,79.92%,457.92,2.25%,"20,926",0.82,-0.61%,-128.08,Medium,59.5,Overcast,0,0
2024,68 Ventures Bowl,18,Arkansas State Red Wolves,Sun Belt Conference,0,8,6,2,573.27,121300,14032,64259,Regional,45851.608,35.84,-90.68,Memphis International Airport,67.89818,95.4,Moderate Remote,CST,Bowling Green Falcons,Mid-American Conference,0,7,7,0,484.51,118000,17027,133406,Mostly In-State,52339.804,41.38,-83.64,Detroit Metropolitan Wayne County Airport,59.74492,90.3,Moderate Remote,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,384,7.6759,460.5569,Flight Required,780,15.59911,935.94650,Flight Required,2024-12-26,Thursday,9:00 PM,ESPN,"1,680,000","19,582",1221667,20340,0.77,7.5,15,0,0,0,0,0,0,0,468024,581.8764,698.2517,11.6375,384,396.16,0,0,3,1,0,26,5.670269052,0.1438019024,1,"19,170.97","19,521.68","19,521.68",20340,76.71%,79.92%,-818.32,-4.02%,"19,582",0.77,-0.31%,-60.32,Medium,61,Overcast,16.4,0
2025,68 Ventures Bowl,10,Louisiana Ragin' Cajuns,Sun Belt Conference,0,6,10,-4,585.82,111900,15345,80684,Mostly In-State,44941.728,30.212191,-92.020165,Alexandria International Airport,83.06783,107.6,Moderate Remote,CST,Delaware Blue Hens,Conference USA,0,6,9,-3,,96400,24221,151949,Regional,48959.1,39.679577,-75.752822,Wilmington Airport,7.790852,20,Accessible,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.696033,-88.178711,CST,231.231774,4.6246,277.4781,Flight Required,935.1732982,18.70347,1122.20796,Flight Required,2025-12-17,Wednesday,8:30 PM,ESPN,1200000,17234,1221667,20340,,6,12,0,0,0,0,0,0,0,480499,583.2025,699.8430,11.6641,231.231774,703.9415242,0,0,3,1,0,26,5.681693392,0.1441777982,1,20619.42775,20535.59942,20535.59942,20340,80.69%,79.92%,195.59942,0.96%,17234,0.68,19.16%,"3,301.60",Medium,59.1,Light drizzle,8.2,0
2022,Alamo Bowl,25,Washington Huskies,Big Ten Conference,12,11,4,7,761.72,471300,55620,389616,Regional,191780.288,47.66,-122.31,King County International Airport - Boeing Field,8.844263,21,Accessible,PST,Texas Longhorns,Southeastern Conference,21,8,5,3,887.45,1596800,53082,472290,Regional,537240.38,30.28,-97.74,Austin Bergstrom International Airport,7.446201,25.7,Accessible,CST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,1376,27.5277,1651.6603,Flight Required,529,10.57909,634.74510,Flight Required,2022-12-29,Thursday,9:00 PM,ESPN,"4,780,000","62,730",5570000,60958,0.98,9.5,19,16.5,12,21,1,0,0,0,3038708,952.6689,1143.2027,19.0534,529,847.43,0,2,1,1,0,9.5,6.482689112,0.2489065182,0.2666666667,"62,870.57","62,296.80","62,296.80",60958,97.34%,95.25%,"1,338.80",2.20%,"62,730",0.98,-0.69%,-433.20,Large,47,Overcast,0.2,0
2023,Alamo Bowl,25,Arizona Wildcats,Big 12 Conference,14,10,5,5,687.01,292600,53001,253727,Regional,124027.704,32.23,-110.95,Tucson International Airport,8.188395,21.2,Accessible,MST,Oklahoma Sooners,Southeastern Conference,12,10,6,4,884.97,1379800,29145,173771,Regional,437500.088,35.21,-97.44,OKC Will Rogers World Airport,15.42455,34.4,Accessible,CST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,262,5.2500,314.9975,Flight Required,573,11.46626,687.97567,Flight Required,2023-12-28,Thursday,9:15 PM,ESPN,"3,930,000","55,883",5570000,60958,0.87,10,20,13,12,14,1,0,0,0,2182044,417.9055,501.4866,8.3581,262,310.82,0,2,1,1,0,13,6.338863703,0.09732279788,0.4222222222,"55,707.08","57,282.36","57,282.36",60958,89.50%,95.25%,"-3,675.64",-6.03%,"55,883",0.87,2.50%,"1,399.36",Large,45.4,Clear sky,0,0
2024,Alamo Bowl,20,BYU Cougars,Big 12 Conference,17,11,5,6,602.46,379700,35074,236737,Regional,144839.484,40.25,-111.65,Salt Lake City International Airport,41.02801,63.4,Accessible,MST,Colorado Buffaloes,Big 12 Conference,20,9,4,5,749.16,1503800,41432,233775,Regional,483103.564,40.01,-105.27,Denver International Airport,33.26124,52.3,Accessible,MST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,652,13.0489,782.9348,Flight Required,573,11.46844,688.10642,Flight Required,2024-12-28,Saturday,7:30 PM,ABC,"8,000,000","64,261",5570000,60958,1.00,10,20,18.5,17,20,0,0,1,0,2430518,612.9338,735.5206,12.2587,573,79.02,1,2,1,1,0,7.5,6.38569902,0.1526054132,0.1777777778,"64,311.88","63,305.72","63,305.72",60958,98.92%,95.25%,"2,347.72",3.85%,"64,261",1.00,-1.49%,-955.28,Large,55.5,Overcast,0,0
2025,Alamo Bowl,23,USC Trojans,Big Ten Conference,16,9,7,2,847.53,427400,47147,376732,Regional,175661.612,34.021281,-118.284169,Los Angeles International Airport,8.938125,22,Accessible,PST,TCU Horned Frogs,Big 12 Conference,0,8,9,-1,745.01,293300,12785,78653,Mostly In-State,98710.304,32.70961,-97.364758,Dallas Fort Worth International Airport,22.96139,40.6,Accessible,CST,Alamodome,San Antonio ,TX,1,64000,31.77015,-106.504098,CST,700.4951311,14.0099,840.5942,Flight Required,537.8987627,10.75798,645.47852,Flight Required,2025-12-30,Tuesday,9:00 PM,ESPN,4900000,54751,5570000,60958,,8.5,17,8,0,16,0,0,1,0,1236017,619.1969,743.0363,12.3839,537.8987627,162.5963684,0,2,1,1,0,18,6.092024795,0.154380752,0.6444444444,47444.41249,51498.48875,56648.33763,60958,88.51%,95.25%,-4309.662375,-7.07%,54751,0.86,3.47%,"1,897.34",Large,44.8,Mainly clear,0,0
2022,Arizona Bowl,26,Ohio Bobcats,Mid-American Conference,0,10,3,7,365.74,123200,24937,189185,Regional,61012.196,39.33,-82.10,Rickenbacker International Airport,55.41088,92.6,Moderate Remote,EST,Wyoming Cowboys,Mountain West Conference,0,7,7,0,292.03,169500,10913,56038,National,58753.212,41.31,-105.58,Denver International Airport,110.991,155.6,High Remote,MST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,1682,33.6333,2017.9956,Flight Required,694,13.87706,832.62382,Flight Required,2022-12-30,Friday,4:30 PM,Barstool Sports,"596,000","27,691",754333,32732,0.55,8.5,17,0,0,0,0,0,0,0,573773,1187.7581,1425.3097,23.7552,694,987.81,0,0,3,1,0,26,5.758740865,0.3155447508,1,"27,917.51","29,361.86","29,361.86",32732,57.82%,64.46%,"-3,370.14",-10.30%,"27,691",0.55,6.03%,"1,670.86",Large,60.3,Mainly clear,2.3,0
2023,Arizona Bowl,27,Wyoming Cowboys,Mountain West Conference,0,9,7,2,338.5,169500,10913,56038,National,58771.8,41.31,-105.58,Denver International Airport,110.991,155.6,High Remote,MST,Toledo Rockets,Mid-American Conference,0,11,9,2,497.64,145900,14939,110174,Regional,57974.256,41.66,-83.61,Detroit Metropolitan Wayne County Airport,40.48345,68,Accessible,EST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,694,13.8771,832.6238,Flight Required,1635,32.70145,1962.08720,Flight Required,2023-12-30,Saturday,4:30 PM,CW,"1,100,000","30,428",754333,32732,0.60,10,20,0,0,0,0,0,0,0,507464,1164.4629,1397.3555,23.2893,694,941.22,1,0,3,1,0,26,5.705406094,0.3089415146,1,"30,544.44","31,200.71","31,200.71",32732,61.44%,64.46%,"-1,531.29",-4.68%,"30,428",0.60,2.54%,772.71,Large,67.9,Partly cloudy,0,0
